α,κ,δ,β,NE_found
0.9409,0.5935,0.807,6.309143939024817,true
0.2093,0.3413,0.278,33.34807334739372,true
0.7508,0.7021,0.9841,19.029682557355343,false
0.7576,0.7532,0.806,23.453037091431014,false
0.006,0.591,0.2871,3.8884087023859,true
0.1662,0.9094,0.4606,36.16168019448742,false
0.427,0.9691,0.0657,50.75448558868365,false
0.0305,0.8828,0.2777,3.4694636004262107,true
0.025,0.191,0.1383,7.235503862340522,true
0.7211,0.6268,0.1436,45.695508006743104,false
0.5847,0.2286,0.1403,9.468779327513491,true
0.8997,0.3194,0.0256,2.9476257034472675,true
0.4991,0.0761,0.0157,3.5894536346044714,true
0.7799,0.9376,0.1174,1.2020158230963014,true
0.4713,0.9136,0.4597,12.255808648587411,true
0.4368,0.8806,0.409,1.2411023790006717,true
0.1113,0.8977,0.2685,4.923403206390359,true
0.1994,0.7099,0.2578,5.175831486683224,true
0.9212,0.2699,0.148,1.4622845894342245,true
0.4429,0.4254,0.5718,23.641413890684284,false
0.2157,0.9666,0.561,5.175831486683224,true
0.4229,0.5078,0.3655,3.238142943837961,true
0.3343,0.1385,0.1288,19.067780007220765,true
0.5593,0.3468,0.1326,14.658201380262703,true
0.618,0.2575,0.391,16.726595540512243,false
0.0783,0.9363,0.211,5.46301043754358,true
0.3155,0.3764,0.0794,2.365525036373806,true
0.9192,0.6818,0.4919,5.430330512732468,true
0.3241,0.7878,0.4227,30.447381590538228,true
0.059,0.2685,0.4683,8.962059002740496,false
0.2221,0.4778,0.1007,4.353586551546428,true
0.8396,0.5828,0.0981,3.5360136321004734,true
0.6407,0.2173,0.2049,1.1456818935948618,true
0.3922,0.4804,0.6089,1.9798082567660498,true
0.4135,0.9213,0.2619,29.07852705779708,true
0.2444,0.3356,0.3179,29.370771113289432,false
0.5331,0.8342,0.4319,5.771892405660934,true
0.0251,0.7012,0.2691,5.8708533613826015,true
0.1053,0.3926,0.9746,9.37456339901229,true
0.1707,0.0942,0.0434,2.9594398187394915,true
0.3027,0.9613,0.5363,5.800824136742529,true
0.2427,0.4262,0.4653,9.337140042028006,true
0.0273,0.1419,0.0259,51.62468760355341,false
0.4101,0.5553,0.254,2.275045381235993,true
0.0702,0.8017,0.2074,3.2674177694429183,true
0.4487,0.0502,0.5942,7.500727381202963,false
0.545,0.6909,0.4258,37.41231768264173,true
0.8278,0.9076,0.7599,11.565193187034973,false
0.549,0.6325,0.4554,50.50134653574539,false
0.8918,0.1787,0.5165,13.223558847858977,false
0.8053,0.2603,0.882,4.508660036746468,false
0.0715,0.4239,0.7097,1.6719656998361128,true
0.4543,0.1363,0.3475,1.9798082567660498,true
0.8211,0.0193,0.1832,15.39434139479746,true
